Rank,Gender,Department,Department_Other,H,State,Salary_Dependency_In_Month,Salary_Dependency_In_Month_Other,Research_Funded_By_External_Grants,Deadline_Today,Workload_Today,Workplace,Workplace_Other,RS,WH,TWR,TWT,TWA,TWO,TW_Sum,BR,BR_Other,Email,Proposal,NP,Funding_Agency,Funding_Agency_Other,P_SR,AP,P_AR,P_DWH,P_DWR,P_DWT,P_DWA,P_DWO,P_DW_SUm,PDR,PDT,PDA,PDO,PD_Sum,P_T,P_DS,P_Disrupted_Research,P_Disrupted_Sleep,P_Disrupted_Diet,P_Disrupted_PA,P_Disrupted_IR,About_Proposal_Deadline,Conference,NCP,CR,C_SR,ACP,AR,C_DWH,C_DWR,C_DWT,C_DWA,C_DWO,C_DW_Sum,DDR,CDT,CDA,CDS,CD_Sum,C_T,C_DS,C_Disrupted_Research,C_Disrupted_Sleep,C_Disrupted_Diet,C_Disrupted_PA,C_Disrupted_IR,About_Conf_Deadline,how_mentally_demanding_was,how_physically_demanding_w,how_hurried_or_rushed_was,how_successful_were_you_in,how_hard_did_you_have_to_w,how_insecure_discouraged_i,i_feel_pleast,i_feel_nervous_and_restles,i_feel_satisfied_with_myse,i_wish_i_could_be_as_happy,i_feel_like_a_failure,i_feel_rested,i_am_calm_cool_and_collect,i_feel_that_difficulties_a,i_worry_too_much_over_some,i_am_happy,i_have_disturbing_thoughts,i_lack_self_confidence,i_feel_secure,i_make_decisions_easily,i_feel_inadequate,i_am_content,some_unimportant_thought_r,i_take_disappointments_so,i_am_a_steady_person,i_get_in_a_state_of_tensio,is_talkative,is_reserved,is_curious_about_many_diff,is_full_of_energy,starts_quarrels_with_other,is_a_reliable_worker,can_be_tense,does_a_through_job,gets_nervous_easily,is_ingenious_a_deep_thinke,take_some_time_off_and_get,focus_on_the_problem_and_s,blame_myself_for_having_go,treat_myself_to_a_favorite,feel_anxious_about_not_bei,think_about_how_i_solved_s,visit_a_friend,determine_a_course_of_acti,ciss9,blame_myself_for_being_too,work_to_understand_the_sit,become_very_upset,take_corrective_action_imm,blame_myself_for_not_knowi,spend_time_with_a_special,think_about_the_event_and,wish_that_i_could_change_w,go_out_fora_snack_or_meal,analyze_my_problem_before,focus_on_my_general_inadeq,phone_a_friend
Professor,Male,Engineering,,39,Maryland,Three months,,Fully funded,Yes,Standard,Home,,Hands-on,> 50,70,30,,,100,Every 1-2 hours,,Answer email in batches once  or twice per day,Yes,2,DOD,,30-50%,1-2 months,1-3 months,About the same,70,30,,,100,70,30,,,100,2 or more days before deadline,Same,2,1,1,1,1,,Yes,2,A,> 90%,1-2 months,6-12 months,About the same,70,30,,,100,70,30,NA,,100,1 day before deadline,Same,2,1,1,1,1,,4,4,4,3,4,2,3,3,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,3,2,4,4,1,4,3,2,3,5,3,5,4,4,4,3,3,4,3,4,2,2,3,2,4,2,3,3,3,2,4,3,2
Assistant Professor,Male,Engineering,,18,Virginia,Three months,,100-75%,Yes,Heavy,Office,,Hands-on,> 50,50,30,10,10,100,Other,"maybe once per day, but this is not regular.",Answer email as it comes,Yes,3,NSF,,30-50%,1-2 months,1-3 months,Significantly more,80,20,0,0,100,50,30,20,0,100,1 day before deadline,Extremely  more,3,4,4,4,4,"Although stressful, proposal deadlines force us to put a timeline with a HARD immovable target date. This requires us to compile many of our ideas and hone them into a good story. As it has currently stood, much of the ""prior research"" for proposals has been completed within the ~1month before the deadline. Some of this is due to waiting for calls to identify topics, forming teams, etc., but also due to prioritization. We are so focused on meeting our existing deadlines for FUNDED programs that we cannot devote the time to exploring the NEW ideas/concepts until we have no other choice. This leads to a constantly high stress level. Although you can get things done, you never have enough time to get ahead, to think creatively, and truly explore limits. It is simply chasing one deadline to the next.    I am not sure replacing deadlines is a good thing. They are stressful but they are very helpful to force you to submit your idea.",Yes,1,A,50-75%,1-2 weeks,< 1 month,About the same,80,10,10,0,100,80,10,10,0,100,Minutes before deadline,Significantly  more,4,2,2,2,3,"Currently normal conference submissions have not been a terrible impediment to our work. We submit them when we are ready, and do the best we can. If accepted great, if not oh well, we will use it as the start of a paper for the next article. Where the difficulty comes is when i am invited to give a talk. The session does not always align well to what we are doing and i feel the need to tailor the talk to the session. This causes extra strain and stress. However, at a young stage in the career, turning down invitations is EXTREMELY hard to do as this gives you recognition and visibility across the field, at the cost of additional work/stress.",6,1,7,5,7,6,2,3,2,4,3,2,3,3,3,2,1,4,2,2,3,3,1,2,3,4,3,5,1,3,2,2,4,5,5,4,2,4,1,1,5,3,4,5,3,4,5,4,3,4,3,2,5,3,3,4,2
Associate Professor,Male,Engineering,,8,Virginia,Three months,,100-75%,Yes,Standard,Home,,Hands-off,> 50,60,30,10,0,100,Every 3-4 hours,,Answer email as it comes,Yes,2,DOE,,50-75%,1-2 months,6-12 months,Significantly more,20,20,60,,100,0,10,90,0,100,1 day before deadline,Significantly  more,3,4,4,3,3,,Yes,>= 10,A,20-30%,1-2 months,6-12 months,More,70,20,10,,100,80,10,10,,100,3-6 hours before deadline,Significantly  more,3,3,3,3,2,,5,3,4,4,4,2,2,2,3,2,2,2,2,4,3,2,1,2,2,3,2,2,2,1,3,1,5,4,1,2,4,2,1,2,2,4,5,4,3,3,3,4,4,3,2,2,3,1,3,2,4,4,4,4,3,2,3
Assistant Professor,Male,Biology,,11,Virginia,Three months,,Fully funded,No,Heavy,Office,,Hands-on,> 50,60,30,0,10,100,Every 3-4 hours,,Answer email in batches once  or twice per day,Yes,1,NSF,,50-75%,1-2 months,6-12 months,Significantly more,80,20,0,0,100,90,10,0,0,100,1-3 hours before deadline,Significantly  more,3,5,4,4,3,,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,3,1,5,6,5,2,3,3,2,2,2,1,4,2,3,3,1,2,3,3,3,3,2,2,4,2,5,5,3,3,2,3,1,5,2,4,2,5,4,2,4,4,2,4,2,3,4,3,4,4,3,4,3,2,3,3,3
Professor,Male,Engineering,,60,Maryland,0,0,Fully funded,Yes,Standard,Office,,Hands-on,> 50,30,20,40,10,100,Every hour,,Answer email in batches once  or twice per day,Yes,5,DOD,,30-50%,2-4 weeks,1-3 months,More,60,20,20,0,100,100,,,,100,1 day before deadline,Same,3,3,4,4,3,,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,4,2,2,4,3,2,4,1,3,2,1,1,3,2,2,3,2,1,4,4,1,3,1,3,4,2,3,2,1,5,1,4,1,5,2,5,4,5,3,4,3,4,4,5,2,2,5,1,4,2,4,4,3,3,5,1,3
Associate Professor,Female,Engineering,,17,Virginia,Three months,,100-75%,Yes,Heavy,Office,,Hands-on,> 50,50,20,20,10,100,Every 3-4 hours,,Answer email as it comes,Yes,2,NSF,,10-20%,1-2 months,1-3 months,Significantly more,70,10,20,0,100,70,10,20,0,100,3-6 hours before deadline,Same,3,3,2,3,2,Deadlines provide external accountability to submit despite the added pressure to meet them.  The removal of deadlines by NSF has reduced the urgency and requires more self-discipline.,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,5,5,7,5,5,5,2,3,2,2,2,2,2,2,3,3,1,3,2,2,2,2,2,2,3,2,4,2,5,3,2,2,3,4,3,3,3,4,4,2,4,4,2,4,2,4,4,4,4,4,2,4,4,2,3,4,3
Professor,Male,Computer Science,,47,Maryland,Three months,,50-25%,No,Heavy,Office,,Hands-on,40-50,60,20,10,10,100,Every 1-2 hours,,Answer email as it comes,Yes,2,NSF,,30-50%,2-4 weeks,6-12 months,More,80,20,0,0,100,80,20,0,0,100,1 day before deadline,Same,3,1,1,2,1,,Yes,2,A*,30-50%,1-2 months,6-12 months,Significantly more,90,10,0,0,100,80,10,10,0,100,1-3 hours before deadline,Same,3,1,1,2,2,,4,1,3,7,4,1,4,2,4,1,1,3,3,1,2,4,1,1,4,4,1,3,1,1,4,1,1,5,2,5,3,5,1,5,4,5,5,5,1,3,1,4,2,5,2,1,5,1,4,1,5,5,1,4,5,1,2
Assistant Professor,Female,Biology,,21,Florida,Three months,,75-50%,No,Light,Office,,Hands-on,> 50,50,30,10,10,100,Every 1-2 hours,,Answer email as it comes,Yes,2,NIH,,20-30%,> 2 months,> 12 months,More,70,20,0,10,100,80,20,0,0,100,1-3 hours before deadline,Significantly  more,3,4,4,5,4,,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,3,2,4,3,4,5,2,3,2,2,2,2,2,2,3,2,1,2,2,1,2,2,2,2,3,3,4,5,5,2,4,2,4,5,4,2,4,4,3,5,4,3,2,3,4,1,4,3,2,4,3,4,4,4,2,4,2
Professor,Male,Biology,,29,Florida,2,2,Fully funded,No,Standard,Office,,Hands-on,40-50,40,40,10,10,100,Every 1-2 hours,,Answer email as it comes,Yes,1,NSF,,30-50%,1-2 months,> 12 months,Significantly more,60,30,0,10,100,90,10,0,0,100,1 day before deadline,Significantly  more,3,1,1,2,1,,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,2,1,1,4,3,2,4,2,3,1,1,4,3,2,1,3,1,1,3,3,1,3,2,2,4,2,2,5,4,5,1,4,2,4,1,5,2,4,1,3,2,3,1,4,2,1,5,1,4,1,3,4,3,2,5,1,2
Professor,Female,Physics,,43,California,0,0,100-75%,No,Standard,Office,,Hands-on,40-50,30,30,10,30,100,Every 1-2 hours,,Answer email in batches once  or twice per day,Yes,1,NSF,,10-20%,1-2 months,3-6 months,More,40,30,20,10,100,30,30,10,30,100,2 or more days before deadline,Same,4,3,2,3,2,Please note that I am taking this survey after a big deadline for proposal to an experimental facilty (August 3). Last week some of my answers would've been different.,Yes,1,A*,> 90%,2-4 weeks,< 1 month,About the same,60,0,10,30,100,60,0,10,30,100,2 or more days before deadline,Same,3,3,2,2,2,,2,2,2,3,3,3,3,2,3,2,2,3,3,2,1,3,1,3,2,2,2,3,2,1,3,2,4,4,3,4,3,3,3,5,3,4,5,5,3,2,3,4,2,4,3,2,5,3,4,2,3,5,2,2,3,2,3
Associate Professor,Male,Engineering,,30,Florida,Three months,,100-75%,No,Standard,Home,,Hands-off,> 50,50,20,20,10,100,Every 1-2 hours,,Answer email as it comes,Yes,3,DOE,,10-20%,2-4 weeks,> 12 months,Significantly more,60,20,10,10,100,50,20,20,10,100,1 day before deadline,Same,5,2,1,1,2,"2 kids and dog, can't do anything at last minute , everything has to be done in small chunks over time ",No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,2,2,4,2,5,5,3,1,3,2,1,2,3,1,1,4,1,1,4,3,3,4,1,1,4,1,5,5,1,2,2,3,4,5,2,3,2,5,2,3,1,4,2,4,2,1,4,2,3,1,2,3,2,3,5,1,2
Assistant Professor,Male,Computer Science,,6,Florida,Three months,,25-1%,No,Light,Home,,Hands-off,40-50,30,30,30,10,100,Every 3-4 hours,,Answer email in batches once  or twice per day,Yes,2,NSF,,< 10%,1-2 months,1-3 months,Significantly more,50,30,20,0,100,70,30,0,0,100,1-3 hours before deadline,Significantly  more,2,3,2,2,2,,Yes,3,B,> 90%,1-2 months,3-6 months,More,90,10,0,0,100,100,0,0,0,100,Minutes before deadline,Significantly  more,3,3,1,1,2,,1,1,1,1,1,1,3,3,2,1,1,2,3,2,2,3,1,1,4,3,1,3,2,2,3,2,5,2,3,4,4,1,3,5,2,4,4,4,2,1,1,3,2,4,1,1,3,5,4,1,3,3,2,3,4,4,4
Associate Professor,Female,Other,Health,15,Arizona,Three months,,25-1%,No,Heavy,Office,,Hands-on,> 50,30,30,20,20,100,Every 3-4 hours,,Answer email in batches once  or twice per day,Yes,2,NSF,,< 10%,> 2 months,> 12 months,Significantly more,50,20,20,10,100,80,10,10,0,100,1 day before deadline,Significantly  more,4,3,3,4,4,Rolling deadlines would be helpful as is the case for many areas covered by NSF. ,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,6,1,6,5,7,6,4,1,4,1,2,2,3,2,1,4,1,1,4,3,1,4,2,1,4,1,2,5,1,4,1,5,1,5,2,5,4,5,1,4,1,5,5,5,4,1,5,2,5,1,5,5,4,4,5,1,5
Professor,Male,Psychology,,23,Arizona,Three months,,50-25%,No,Light,Home,,Hands-off,30-40,20,20,30,30,100,Every 1-2 hours,,Answer email in batches once  or twice per day,Yes,1,NIH,,30-50%,> 2 months,> 12 months,More,30,20,20,30,100,20,20,30,30,100,2 or more days before deadline,Same,2,1,1,1,1,I don't find the deadlines stressful except for the inevitable bureaucratic nonsense (either from my university or the every-changing whims of the funders). The other parts are fairly straightforward.,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,3,1,1,3,2,1,4,1,4,1,1,4,4,1,1,4,1,1,4,4,1,4,1,1,4,1,1,2,4,5,4,3,4,3,1,4,4,5,1,4,1,5,2,5,2,1,5,1,4,1,2,4,1,4,5,1,3
Associate Professor,Male,Physics,,37,Arizona,Three months,,Fully funded,Yes,Heavy,Office,,Hands-on,> 50,50,30,10,10,100,Every 3-4 hours,,Answer email as it comes,Yes,1,NSF,,50-75%,2-4 weeks,1-3 months,Significantly less,90,10,0,0,100,100,,,,100,1-3 hours before deadline,Extremely  more,5,5,5,5,5,"Deadlines are helpful, but they are very problematic when there is too much time between them.  It would be great if each call for proposals would review proposals in batches, perhaps once each quarter.   ",No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,4,1,3,3,5,4,3,3,2,3,2,2,3,4,3,2,1,2,3,2,2,2,3,2,2,3,5,5,1,3,3,1,4,4,4,5,3,5,4,2,4,4,1,2,1,4,4,4,3,2,3,4,4,2,4,4,1
Assistant Professor,Female,Physics,,16,Arizona,Three months,,100-75%,Yes,Heavy,Home,,Hands-on,40-50,40,30,20,10,100,Every 3-4 hours,,Answer email in batches once  or twice per day,Yes,1,DOE,,< 10%,2-4 weeks,3-6 months,Significantly more,80,10,10,0,100,80,0,20,,100,1 day before deadline,Extremely  more,5,3,4,5,4,Proposal deadlines are not the problem.  The problem is an unhealthy work culture in the scientific enterprise as a whole.  Replacing proposal deadlines with some other mechanism may have little to no effect on this overarching culture.,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,5,3,5,5,6,7,3,2,3,2,1,2,1,2,3,2,1,2,2,2,2,2,1,2,2,3,1,3,2,1,2,3,4,5,4,5,3,5,4,3,4,5,2,5,4,3,4,4,5,4,3,3,4,2,3,3,2
Associate Professor,Female,Biology,,15,Florida,Three months,,100-75%,Yes,Standard,Home,,Hands-on,> 50,40,40,10,10,100,Every 3-4 hours,,Answer email as it comes,Yes,1,NSF,,20-30%,> 2 months,> 12 months,Significantly more,80,10,10,0,100,80,10,10,0,100,3-6 hours before deadline,Significantly  more,4,4,4,4,4,"NSF is currently working on a no-deadline model; I don't yet know whether you will ask about this. It's a double-edged sword, and I think an effective way to reduce the number of submissions.  It does not mean I'm less stressed, however - the stress is more internalized and goes on for longer.  It's still far better than that pre-proposal model, however!!!",No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,5,1,5,6,6,2,2,3,2,3,2,1,1,2,2,2,2,2,2,1,2,3,2,3,4,2,5,4,1,3,1,2,2,5,4,5,4,5,4,4,4,4,2,4,4,4,4,2,2,3,2,3,4,3,4,3,2
Assistant Professor,Female,Biology,,11,Florida,Three months,,100-75%,Yes,Standard,Home,,Hands-on,> 50,40,30,20,10,100,Every 1-2 hours,,Answer email as it comes,Yes,4,NSF,,< 10%,> 2 months,3-6 months,More,70,20,10,0,100,40,30,20,10,100,3-6 hours before deadline,Same,3,3,2,3,3,"My reactions and stress have changed significantly over my 4 years as assistant professor with no grants funded.  My stress and work distribution is completely different now, also because my teaching preparation workload is manageable compared with in the first two years when I had to develop the classes.  I think rolling deadlines are the best for you and also for the university grant administrators to pay the most attention to your proposal.  Those of us applying constantly to multiple agencies already have the burden spread.  That is probably most researchers now.",No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,5,1,2,7,5,2,3,3,1,1,3,2,2,2,4,3,1,3,2,2,3,2,1,1,3,2,4,4,1,4,2,4,5,5,2,3,1,5,5,3,1,3,4,4,5,2,4,2,5,1,5,5,5,3,3,3,3
Professor,Male,Geosciences,,39,Florida,Three months,,Fully funded,Yes,Heavy,Home,,Hands-off,40-50,40,30,20,10,100,Every 3-4 hours,,Answer email in batches once  or twice per day,Yes,1,NASA,,30-50%,> 2 months,1-3 months,Significantly more,90,10,0,0,100,90,10,,,100,2 or more days before deadline,Extremely less,5,5,2,5,5,"All ideas, writing, reading basically are done by myself. Reducing the amount of time doing compliance busy  work  would be helpful. Sending in a proposal without a deadline would be very helpful.",No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,3,3,3,3,3,3,3,3,3,1,1,2,1,2,2,4,1,2,4,1,2,3,1,1,2,2,2,2,2,1,4,2,2,5,5,5,2,5,2,1,2,5,2,4,1,2,5,2,2,2,2,5,2,1,5,1,1
Professor,Male,Biology,,49,Florida,Three months,,Fully funded,No,Standard,Office,,Hands-off,> 50,50,30,10,10,100,Every 1-2 hours,,Answer email in batches once  or twice per day,Yes,1,NIH,,75-90%,1-2 months,> 12 months,Significantly more,60,30,10,,100,80,20,,,100,1-3 hours before deadline,Significantly  more,3,2,1,2,2,,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,5,2,3,4,4,3,4,2,4,1,1,2,3,1,2,4,1,1,4,2,1,3,2,1,4,2,4,4,1,5,2,5,1,5,4,5,3,4,2,2,2,4,3,4,1,1,4,1,5,2,2,4,4,2,4,2,1
Associate Professor,Male,Chemistry,,42,Florida,Three months,,75-50%,Yes,Heavy,Office,,Hands-off,> 50,50,20,20,10,100,Every 1-2 hours,,Answer email as it comes,Yes,2,NSF,,10-20%,1-2 months,3-6 months,About the same,60,10,20,10,100,50,20,20,10,100,2 or more days before deadline,Same,3,2,1,1,2,,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,5,3,5,4,4,5,2,3,2,3,2,2,3,2,2,3,1,1,4,4,2,3,2,1,3,3,5,4,1,3,3,2,4,5,3,4,2,4,4,1,4,4,1,4,1,1,5,3,4,1,1,4,1,4,5,2,1
Assistant Professor,Male,Computer Science,,9,Michigan,Three months,,Fully funded,No,Light,Home,,Hands-on,> 50,40,30,20,10,100,Every hour,,Answer email in batches once  or twice per day,Yes,1,NSF,,20-30%,2-4 weeks,6-12 months,Significantly more,80,20,0,0,100,90,10,0,0,100,Minutes before deadline,Significantly  more,2,4,3,4,3,It feels like sending ideas into a void for a long time. It would be much better to present proposals in the form of presentations to program officers and to be able to answer questions.,Yes,2,A*,20-30%,> 2 months,3-6 months,Significantly more,70,20,10,0,100,90,10,0,0,100,Minutes before deadline,Significantly  more,3,4,3,3,2,Deadline pressure is not always a bad thing. It makes me and everyone I work with more productive.,3,4,2,3,3,5,3,3,2,1,1,3,4,1,2,3,1,2,4,3,2,3,4,2,3,2,2,4,5,5,1,2,5,5,3,5,3,5,1,4,3,4,2,5,4,3,5,1,4,1,2,3,1,4,5,2,1
Professor,Male,Psychology,,56,Arizona,0,0,25-1%,No,Heavy,Office,,Hands-off,> 50,20,10,70,0,100,Other,rarely,Answer email in batches once  or twice per day,Yes,1,NSF,,20-30%,2-4 weeks,< 1 month,Significantly more,60,10,30,0,100,70,10,20,,100,1 day before deadline,Significantly  more,5,5,4,4,3,,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,4,2,4,5,4,2,3,2,3,1,1,2,3,2,1,3,1,1,4,3,1,3,1,1,4,2,1,5,1,4,1,5,2,5,1,5,2,5,2,3,1,5,3,5,2,1,5,2,4,1,3,5,3,3,4,1,1
Associate Professor,Female,Mathematics,,7,Ohio,Three months,,100-75%,No,Heavy,Home,,Hands-on,> 50,20,40,20,20,100,Every 3-4 hours,,Answer email as it comes,Yes,2,NSF,,< 10%,> 2 months,> 12 months,Significantly more,30,40,20,10,100,40,40,20,0,100,3-6 hours before deadline,Extremely  more,4,5,5,5,3,,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,4,4,4,2,6,5,3,2,2,1,2,1,3,2,1,3,2,2,3,3,2,3,2,2,4,2,3,4,2,4,1,5,2,5,1,5,1,5,4,4,2,5,3,5,2,1,5,4,5,2,5,5,3,2,5,3,2
Assistant Professor,Male,Psychology,,10,Texas,Three months,,Not funded,No,Light,Office,,Hands-on,> 50,50,40,0,10,100,Every 3-4 hours,,Answer email as it comes,Yes,3,NASA,,< 10%,1-2 months,6-12 months,Significantly more,70,20,0,10,100,50,40,,10,100,1 day before deadline,Significantly  more,4,4,2,4,3,I'd like to see rolling deadlines. ,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,3,1,2,6,3,1,3,2,3,1,2,3,4,2,1,4,1,2,2,4,2,4,1,1,4,2,2,5,1,4,1,4,4,5,1,5,1,5,4,4,2,5,2,5,1,1,5,2,5,4,3,5,4,2,5,1,2
Associate Professor,Female,Other,Health and Human Performance,13,Texas,Three months,,50-25%,Yes,Standard,Office,,Hands-on,30-40,40,30,20,10,100,Every 1-2 hours,,Answer email as it comes,Yes,2,NIH,,< 10%,> 2 months,6-12 months,About the same,50,30,10,10,100,10,50,20,20,100,2 or more days before deadline,Significantly less,2,3,2,3,2,I typically submit my grant proposals a week or more ahead of the deadline in order to successfully work with our admin teams that ultimately submit the paperwork. I also let these teams know that I am planning a submission at least 3 months in advance. I find that this helps ease a lot of stress and has extremely beneficial effects on my relationships with admin personnel.,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,3,1,2,4,2,1,3,2,3,2,2,2,3,1,2,3,2,2,3,3,2,3,2,1,3,1,5,5,1,5,3,3,2,5,4,3,4,3,3,5,3,4,5,5,3,3,4,4,3,2,4,4,3,4,3,3,4
Professor,Female,Other,Pharmacological and Pharmaceutical Sciences,30,Texas,Three months,,100-75%,No,Heavy,Office,,Hands-off,> 50,60,20,20,,100,Every 3-4 hours,,Answer email in batches once  or twice per day,Yes,2,NIH,,20-30%,> 2 months,3-6 months,Significantly more,70,10,20,,100,70,10,20,,100,2 or more days before deadline,Significantly  more,2,3,1,2,3,The deadline serves the purpose that I have no objection to keep.,Yes,2,A,10-20%,1-2 months,3-6 months,About the same,70,10,20,,100,70,20,10,,100,2 or more days before deadline,Same,1,1,1,1,1,,5,3,4,6,5,2,4,1,3,1,1,3,4,1,1,3,1,1,4,3,2,4,1,1,4,1,3,5,1,5,4,2,3,5,1,4,3,5,3,3,1,4,3,5,1,1,5,2,5,1,3,5,1,3,5,4,3
Professor,Male,Engineering,,38,Texas,Three months,,75-50%,No,Standard,Office,,Hands-off,> 50,40,0,50,10,100,Every 1-2 hours,,Answer email as it comes,Yes,2,DOD,,30-50%,1-2 months,6-12 months,Significantly more,60,0,40,0,100,70,0,30,0,100,Minutes before deadline,Significantly  more,2,3,4,3,3,Wishing I had had more time; more prior work; more familiarity with the landscape of the funding process,Yes,3,A,30-50%,1-2 months,6-12 months,More,40,0,50,10,100,50,0,50,0,100,1-3 hours before deadline,Significantly  more,3,2,3,3,3,Having had more time to prepare; avoiding disruptions; choosing the right conference,4,2,3,5,4,2,2,3,2,2,2,2,1,3,3,2,2,2,2,3,2,2,2,2,2,2,4,5,1,1,1,2,4,5,4,5,4,4,4,4,4,3,2,4,4,4,4,4,3,4,3,4,4,4,3,4,1
Associate Professor,Male,Engineering,,20,Texas,Three months,,100-75%,No,Light,Office,,Hands-on,40-50,30,50,10,10,100,Every hour,,Answer email in batches once  or twice per day,Yes,2,NASA,,20-30%,2-4 weeks,1-3 months,Significantly more,60,40,0,0,100,40,40,10,10,100,1 day before deadline,Significantly  more,4,4,3,3,3,,Yes,3,B,30-50%,> 2 months,6-12 months,More,40,40,,20,100,40,40,NA,20,100,1-3 hours before deadline,Significantly  more,3,3,2,3,3,,2,2,2,6,4,2,3,2,4,2,1,3,3,2,2,4,1,1,3,3,1,4,2,1,3,2,2,5,5,4,2,5,4,4,2,5,4,4,2,5,4,3,5,4,3,1,4,4,4,1,5,4,4,4,4,2,2
Professor,Male,Engineering,,46,Texas,Three months,,75-50%,Yes,Standard,Home,,Hands-on,40-50,30,30,20,20,100,Every 1-2 hours,,Answer email in batches once  or twice per day,Yes,4,"TxDOT, NCHRP","TxDOT, NCHRP",20-30%,1-2 months,< 1 month,Significantly more,60,20,20,,100,70,20,10,,100,1 day before deadline,Significantly  more,4,3,3,4,4,"Frustration with associates not doing their part or doing it well, requiring rewriting.",Yes,2,A,30-50%,2-4 weeks,> 12 months,Significantly more,70,20,10,,100,70,20,10,,100,1 day before deadline,Significantly  more,4,4,3,3,3,,3,2,3,6,4,3,3,2,2,2,2,1,1,3,2,2,1,1,2,3,2,2,2,1,2,2,2,4,1,2,2,4,2,5,2,4,4,4,4,2,4,4,2,4,1,2,4,4,3,4,1,4,4,1,4,2,1
Professor,Male,Computer Science,,29,Texas,Three months,,Not funded,No,Light,Office,,Hands-off,40-50,30,50,10,10,100,Every 1-2 hours,,Answer email as it comes,Yes,1,NSF,,10-20%,1-2 months,> 12 months,Significantly more,80,20,0,0,100,50,30,10,10,100,1-3 hours before deadline,Extremely  more,3,5,4,3,4,"Honestly, my work on proposals probably looks similar to an exponential growth model, so even though I start 2 months ahead, the large bulk of work is done in the last week.  I know this is not ideal, and better time management might fix it, but I haven't managed to fix it in 20 years.",Yes,2,B,20-30%,> 2 months,> 12 months,More,60,30,0,10,100,80,20,0,0,100,3-6 hours before deadline,Significantly  more,3,4,3,2,3,"The conference I submit to range from A* to B in the ranking list given, and my work level/stress level also varies (much more for the A* conferences, less for the B ones).  I answered for the B ones since there are more submissions there in total.",1,1,2,7,2,2,3,3,2,2,3,2,2,2,3,3,1,2,2,2,2,3,3,3,4,2,5,3,4,1,5,1,3,4,3,4,5,3,4,3,4,5,1,5,1,1,5,3,2,4,3,5,4,3,5,4,1
Associate Professor,Male,Engineering,,29,Florida,2,2,100-75%,No,Heavy,Home,,Hands-on,> 50,50,40,,10,100,Every 3-4 hours,,Answer email as it comes,Yes,1,NIH,,50-75%,> 2 months,3-6 months,More,60,40,,,100,60,40,,,100,2 or more days before deadline,Significantly  more,3,3,3,4,4,,Yes,3,A,75-90%,1-2 months,3-6 months,About the same,50,40,,10,100,50,40,NA,10,100,2 or more days before deadline,Same,1,1,1,1,1,,4,2,4,4,5,5,2,3,4,3,1,2,3,3,3,3,1,1,3,2,1,3,1,2,3,2,4,5,1,3,2,3,3,5,4,5,2,4,3,4,2,4,4,4,4,3,4,3,5,1,4,5,4,3,5,3,4
Assistant Professor,Male,Engineering,,3,Texas,Three months,,50-25%,Yes,Heavy,Home,,Hands-off,40-50,30,40,20,10,100,Other,Whenever my children need something - on demand,Answer email as it comes,Yes,4,NSF,,10-20%,2-4 weeks,1-3 months,Significantly more,60,30,10,0,100,60,30,10,0,100,3-6 hours before deadline,Same,3,5,2,2,2,,Yes,1,B,20-30%,> 2 months,1-3 months,About the same,30,40,20,10,100,60,30,10,0,100,3-6 hours before deadline,Same,2,2,2,2,2,,6,2,2,3,5,6,3,3,3,2,2,1,3,3,2,4,1,2,3,3,2,4,2,1,3,1,1,5,1,4,2,5,2,3,2,5,4,3,4,2,2,4,2,4,2,1,4,2,3,2,4,2,4,1,3,2,4
